Reference, Quantity, Value, Footprint, Datasheet, Bezug, Typ
J10 J13 ,2,"01x03_fem","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~","https://www.reichelt.de/buchsenleiste-2-54mm-1x3-gerade-bkl-10120945-p266670.html?&trstct=pol_3&nbc=1","Conn_01x03_Female"
J11 ,1,"01x02_fem","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","https://www.reichelt.de/buchsenleiste-2-54mm-1x2-gerade-bkl-10120944-p266669.html?&trstct=vrt_pdn&nbc=1","Conn_01x02_Female"
J14 J12 ,2,"01x15_fem","Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical","~","https://www.reichelt.de/platinensteckverbinder-gerade-weiss-10-polig-ps-25-10g-ws-p14824.html?&trstct=vrt_pdn&nbc=1","Conn_01x15"
J16 J2 J1 J17 ,4,"MSTBVA-2.5-10-5.08","mylib:TerminalBlock_Phoenix_MSTBVA-2.5-10-5.08_1x10_P5.08mm_Horizontal","~","https://www.mouser.de/ProductDetail/Phoenix-Contact/1924389?qs=%2Fha2pyFadujHdoqdfOFIJ8rSuaf%2FUCtvuFzXlTdlJZ0%3D","Output Byte 1.0 -1.7"
J18 ,1,"01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","https://www.reichelt.de/stiftleiste-3-pol-gerade-rm-2-54-mpe-089-1-003-p225881.html?&trstct=vrt_pdn&nbc=1","Conn_01x03_Male"
J19 ,1,"01x08_Male","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","https://www.reichelt.de/stiftleiste-8-pol-gerade-rm-2-54-mpe-089-1-008-p225883.html?&trstct=vrt_pdn&nbc=1","Conn_01x08_Male"
J20 ,1,"01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","https://www.reichelt.de/stiftleiste-8-pol-gerade-rm-2-54-mpe-089-1-008-p225883.html?&trstct=vrt_pdn&nbc=1","Conn_01x02_Male"
J21 ,1,"02x02_Male","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","https://www.reichelt.de/stiftleiste-8-pol-gerade-rm-2-54-mpe-089-1-008-p225883.html?&trstct=vrt_pdn&nbc=1","Conn_02x02_Male"
J22 J23 ,2,"opt. Connector","mylib:TerminalBlock_Phoenix_MSTBVA-2.5-10-5.08_1x10_P5.08mm_Horizontal","~","opt.: https://www.phoenixcontact.com/en-pc/products/printed-circuit-board-connector-mstba-25-10-g-508-1757323","Conn_via_Cable"
J24 ,1,"01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","https://www.reichelt.de/stiftleiste-5-pol-gerade-rm-2-54-mpe-089-1-005-p225882.html?&trstct=vrt_pdn&nbc=1","Conn_01x05_Male"
J25 ,1,"01x05_fem","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","https://www.reichelt.de/buchsenleiste-2-54mm-1x5-gerade-bkl-10120947-p266672.html?&trstct=pol_2&nbc=1","Conn_01x05_Female"
J26 ,1,"01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
